"","pair_ids","unique_in_earlier","unique_in_later"
"1","0_1","'s","1, houden, zon, deze, heten, frises, oktoberdag, je, trui, jas, bijna, licht, zonder, warmen, vandaag, kwaad, badhanddoek, leggen, erop, gaan, liggen, terwijl, er, voldoende, schaduw, onder, overhangen, boom, tussen, strand, weg"
"2","1_2","","dan, smal, fronzen, klein, bikini, net, loom, oprichten, buik, inspecteren, zonnend, tijd, branding, verte, staren, vorm, gorilla, dik, hol, rug, kort, been, lang, arm, mijn, recht, sommig, lichame, me, slank, ik, tegen, wijsvinger, strepen, trekken, zand, tekenen, kasteel, sluiten, mooi, want, willen, toch, waterfiets, hem, jullie, vis, markt, weten, welk, lekker, aard, kook, koken, tuinieren, beweging, brengen, glijbaan, trpen, tot, stop, !, roepen, stoppen, glijden, zwijgen, horen, telkens, alleen, plon, zwemmen, ernstig, gezicht, achterkant, fiets, hijgen, vanuit, trap, klimmen, weer, 's"
"3","2_3","badhanddoek, leggen, fronzen, beweging, brengen, 's","frons, daar, benen, vanavond, zullen, grillen, barbecue, familiehuis, leeftijd, mee, schudden, jongen, hoofd, we, zeebaar, moeder, hier, best, groeien, zee, keren, elk, zomer, terug, gisteren, pasta, inktvis, volgens, oud, familierecept, eerst, ontdooien, familie, nooit, gooien, bevriezen, pan, even, zien, misverstand, ontstaan, door, dit, lopen, smeren"
"4","3_4","me, frons, benen, sommig, lichame, slank, er, misverstand, ontstaan","fronzen, zonnen, Miranda, July, posten, vanmorgen, film, Instagram, waarin, wild, gang, dansen, panty, Mickey, Mouse-shirt, geest, lichaam, gorillaman, verpezen, uitzicht, ruzie, intussen"
"5","4_5","1, frises, oktoberdag, trui, jas, bijna, warmen, vandaag, geest, verpezen, uitzicht, mooi, ruzie, intussen, stoppen, horen, telkens, alleen, plon, hijgen","dragen, overhemd, schrijven, geestig, indringen, irritant, benen, combinatie, zwetenen, hit, doorstaan, rimpelig, bruin, huid, kanker, kibbeld, ontdooide, graag, plonst, hijgend, trappen, totdat, vlak, verhuurder, inleveren, jij, achter, ok, lachen, billen, passen, blij, gladden, plastic, treden, dus, vallen, heken, trapleuning, metalen, buis, schreeuwen, proberen, los, er, ruimte, drukken, plat, duwen, omhoog, steeds, opnieuw, beweging, pols, flitzen, heen, één, hulp, patientenfolder, behandelen, kind, spoedeisen, zin, signaleren, kindermishandeling, mitella, slap, dichtvallend, oog, naam, wakker, nu, pijn, resultaat, niets, anders, verzinnen, gorilla-man, naast, stap, opzij, grijpen, twee, hand, toe, zodat, heel, ontstaan, tussenuit, danken, drie, misschien, vier, brullen, begeleiden, richting, eerstehulppost, strandtent, bevinden, ver, waar, handdoek, zitten, vuur, raken, schroef, ontbreken, avond, allemaal, gebeuren, boven, waardoor, beneden, klem"
"6","5_6","wild, hit, doorstaan, rimpelig, bruin, kanker, verzinnen, stap, opzij, tussenuit, begeleiden, ongegeneerd, slavernijden","Tom, laten, verbranden, donker, worden, kankerplek, stevig, plon, idee, verpleegkundig, geloven, vast, vrij, Brullend, linkerhand, tillen, thank, you, so, much, verbinden, terugkeren, waterfietsverhuur, vlakbij, kijken, goedgekomen, missen, leuning, geglid, iets, begrijpen, extreem, gebeurtenis, ja, vervelen, vervelend, juist, woord, gesprek, plaatselijk, architectuur, vissen, slavernijverleid, Amerika, slavenhouder, totslaafgemaakt, beest, zagen, achteraan, schrijverschap, Frederick, Douglass, waarop, promoveren, ', doms, allebei, academicus, bespreken, duurzaamheid, luide, toon, delen, informatie, artikel, lezen, onderzoeken, opgestaan, afwasmachine, laden, meepraten, vinden, me, dommer, interesseren, uitwisselen, droog, feit, waarom, zacht, bloedeloos, voeren, soort, situaties, benauwen, lijken, intelligentie, oplepelen, fei, krant, deur, calippo-ijsje, zuigen, buurmeisje, groot, koek, hapje, nemen, ijsje, sinaasappelsmaak, knijpen, karton, ijs, keel, schieten, knikken, verder, muur, giechelen, drieen, alleen, klootzak, giechelenen, bijna, huilen, verdriet, ouder, vijfendertig, jaar, kutvriendin, luidruchtig, luchtpijp, proeten, schrapen, kokhalsen, herinneren, Heimlich-manoeuvre, uitvoeren, hande, hart, slaan, wandelen, buiten, boer, stuk, feloranje, stoep, troosten, bed, vinger-klem-incident, ongegeneren, slavernij"
"7","6_7","",""
"8","7_8","fronzen, Tom, schrijven, geestig, indringen, irritant, combinatie, zwetenen, verbranden, worden, kankerplek, plon, zwemmen, hijgend, dus, heken, behandelen, zin, idee, mitella, zonder, resultaat, vast, heel, drie, geglid, benauwen, giechelenen, kutvriendin, luchtpijp, proeten, ongegeneren, slavernij","meestal, hit, doorstaan, kanker, graad, niemand, lol, ons, houd, soms, weleens, erboven, zweef, bestuurder, taak, vervolgens, wachten, zwemen, hijgen, klimt, et, cetera, gedachte, liegen, daardoor, nadruk, vergeefs, vastgrijpt, verschrikkelijk, mezelf, elkaar, eind, giechelend, zelf, giechelende, rotvrienden, rochelen, Kom!, volwassen, vervangen, lamp, elektrisch, schok, telefoon, iemand, heleboel, dingen, goor, gebruiken, kopieer, vanzelf, ongegeneerd, slavernijden"
"9","8_9","vervolgens, daardoor","daarna, wrikken, mij, vogels, tas, soepel, leer, oren, waarvan, oorlel, hangen, meteen, doorgroeien, morgen, hoofdstad, daarom, emmen, zoveel, o, bezorgen, tegenover, gast, tolerannen, slank, peer, drie, glas, wijn, voorstellen, bestaan, worden, peervormig, dikke, mooi, erg, mogen, lenen, wijd, bloemmen, 's"
"10","9_10","voorstellen, bestaan, peervormig, 's","pofmouw, zomers, heel, neer, jou, beleven, merken, stil, geklets, ongemakkelijk, voel"
