"","pair_ids","unique_in_earlier","unique_in_later"
"1","0_1","","Dag, 1, houdt, zon, deze, Deze, heet, frisse, oktoberdag, je, trui, moet, jas, Een, bijna, Licht, zonder, warmte, vandaag, kwaad, En, hun, badhanddoek, leggen, erop, gaan, liggen, terwijl, er, voldoende, schaduw, onder, overhangende, bomen, tussen, strand, weg, maken"
"2","1_2","","dan, smalle, fronst, kleine, bikini, net, loom, opgericht, buik, inspecteren, zonnende, staat, tijd, branding, verte, staren, vorm, gorilla, dikke, holle, rug, korte, benen, lange, armen, Mijn, rechte, Sommige, lichamen, me, Die, slanker, ik, Kom, tegen, wijsvinger, strepen, trekt, zand, tekent, kasteel, gesloten, Mooi, Want, wilde, toch, waterfiets, Ik, ga, hem, ochtend, gezegd, Gaan, jullie, vis, kopen, markt, wist, welke, lekkerste, ben, aards, zei, vroegen, koken, hield, tuinieren, beweging, brengen, glijbaan, trapt, tot, Stop, !, roept, stopt, glijd, zwijgend, hoort, telkens, alleen, plons, zwemt, ernstig, gezicht, achterkant, fiets, hijgend, vanuit, trapje, klimmen, Trappen, weer"
"3","2_3","houdt, badhanddoek, leggen, liggen, fronst, kopen, beweging, brengen","hou, frons, ligt, daar, zeg, mijn, Vanavond, zullen, grillen, barbecue, familiehuis, vrienden, leeftijd, hebben, mee, zoeken, Toen, schudde, jongen, hoofd, We, moeten, zeebaars, moeder, hier, best, Zij, groeide, zee, keert, elke, zomer, terug, Gisteren, pasta, inktvis, gemaakt, volgens, oud, familierecept, eerst, ontdooien, familie, nooit, gooiden, bevroren, pan, Even, zag, misverstand, ontstaan, Zo, tijdje, door, Dit, loopt, gesmeerd"
"4","3_4","hou, me, frons, Sommige, lichamen, slanker, zeg, zoeken, er, misverstand, ontstaan","houdt, fronst, Miranda, July, postte, vanmorgen, filmpje, Instagram, waarin, wild, gang, danst, panty, Mickey, Mouse-shirt, Miranda's, geest, lichaam, gorillaman, verpest, uitzicht, hadden, ruzie, gekregen, Intussen, licht, ontdooide, gegooid, dacht"
"5","4_5","Dag, 1, frisse, oktoberdag, trui, jas, Een, bijna, Licht, warmte, vandaag, Miranda's, geest, maken, verpest, uitzicht, Mooi, hadden, ruzie, gekregen, Intussen, stopt, glijd, hoort, telkens, alleen, plons, klimmen, Zo","draagt, overhemd, schrijft, geestige, indringende, verhalen, irritant, combinatie, zwetende, hitte, doorstaat, rimpelige, bruine, huid, kanker, Goed, Terwijl, kibbelden, kookt, graag, plonst, Dan, klimt, Totdat, Vlak, verhuurder, wil, inleveren, jij, bent, geweest, achter, Ok, lachen, billen, passen, Blij, glijdt, gladde, plastic, treden, dus, valt, blijft, haken, trap, trapleuning, metalen, buis, schreeuwt, probeert, los, krijgen, er, ruimte, drukt, plat, duwt, omhoog, steeds, opnieuw, beweging, gebroken, pols, flitst, heen, eerste, hulp, patientenfolder, behandelen, kinderen, spoedeisende, zin, signaleren, kindermishandeling, mitella, slap, dichtvallende, viel, naam, riep, wakker, houden, Nu, pijn, doen, resultaat, niets, anders, verzinnen, Als, gorilla-man, naast, stapje, opzij, grijpt, twee, handen, toe, zodat, heel, even, ontstaat, tussenuit, trekken, Dank, drie, misschien, vier, brullende, begeleidt, richting, eerstehulppost, strandtent, bevindt, ver, waar, handdoeken, zaten, vuur, kon, raken, schroef, ontbroken, avond, dit, allemaal, gebeurd, bovenste, zat, waardoor, beneden, kunnen, glijden, klem, geraakt"
"6","5_6","hitte, doorstaat, rimpelige, bruine, kanker, verzinnen, stapje, opzij, tussenuit, trekken, brullende, begeleidt, glijden","Tom, laat, verbranden, donkerder, wordt, kankerplekken, komen, stevig, Na, plons, idee, verpleegkundigen, zouden, geloven, gevallen, brult, duwen, vast, vrij, Brullend, linkerhand, tilt, Thank, you, so, much, verbonden, hand, terugkeerde, waterfietsverhuur, vlakbij, Kijk, goedgekomen, miste, leuning, gegleden, Misschien, iets, zeggen, Er, schreeuwde, begrijpen, extreme, gebeurtenis, Ja, vervelend, juiste, woord, gesprek, gaat, plaatselijke, architectuur, vissen, slavernijverleden, Amerika, slavenhouders, totslaafgemaakten, beesten, zagen, Denk, achteraan, vriend, schrijverschap, Frederick, Douglass, waarop, gepromoveerd, dom, ', denk, alle, keren, doms, allebei, academici, bespreken, nu, duurzaamheid, Op, luide, toon, delen, informatie, artikelen, gelezen, onderzoeken, gedaan, kijkt, opgestaan, afwasmachine, laden, Omdat, meepraat, vinden, me, dommer, geinteresseerd, uitwisselen, droge, feiten, Waarom, zachter, bloedeloze, gesprekken, voeren, Zoals, soort, situaties, geleken, begrepen, intelligentie, Intelligentie, oplepelen, krant, deur, calippo-ijsje, zuigen, buurmeisje, grote, koek, hapjes, neemt, ijsje, sinaasappelsmaak, knijpt, karton, ijs, boven, zuigt, Niet, keel, schieten, knikt, verder, Zijn, zit, muurtje, giechelen, Zo, z'n, drieen, alleen, klootzakken, giechelende, bijna, huilen, weet, verdriet, ouder, vijfendertig, jaar, kutvriendinnen, luidruchtig, schiet, luchtpijp, proest, schraapt, kokhalst, herinneren, Heimlich-manoeuvre, uitvoeren, Handen, vlak, hart, ging, slaat, wandelen, buiten, harde, boer, stuk, feloranje, stoep, troost, bed, we"
"7","6_7","",""
"8","7_8","fronst, Tom, schrijft, geestige, indringende, irritant, combinatie, zwetende, verbranden, wordt, kankerplekken, komen, ochtend, kookt, vroegen, hield, Na, plons, Totdat, gaan, tijdje, dus, haken, probeert, duwt, behandelen, zin, idee, geloven, mitella, zonder, resultaat, vast, heel, even, tilt, drie, gegleden, geraakt, kijkt, begrepen, Zijn, kutvriendinnen, luchtpijp, proest, ging, slaat","houd, Kwaad, kijk, meestal, hou, July's, hitte, doorstaat, kanker, Bij, graden, niemand, lol, zeg, onze, maakte, vragen, Soms, weleens, erboven, zweef, bestuurder, taak, trappen, Vervolgens, wacht, totdat, et, cetera, zitten, probeer, duw, gedachte, denken, loog, daardoor, woorden, veel, nadruk, gaf, blijf, vergeefs, vastgrijpt, til, ons, glijden, verschrikkelijk, Onze, krijg, mezelf, hebt, elkaar, Een, eindje, zelf, rotvrienden, rochelt, geloof, sla, Kom!, roep, volwassenen, vervangen, lampje, elektrische, schok, kreeg, telefoon, kijken, zocht, iemand, heleboel, dingen, vindt, goor, gebruikt, kopieer, vanzelf"
"9","8_9","maakte, Vervolgens, krijgen, daardoor, Thank","zou, maken, Daarna, wrikken, daarna, thank, mij, Vogels, vind, tassen, soepel, leer, oren, waarvan, oorlellen, hangen, meteen, doorgroeien, morgen, hoofdstad, Daarom, eet, zoveel, O, bezorgd, Jij, Tegenover, gasten, tolerant, kleiner, slanker, peer, derde, glas, wijn, nemen, voorstellen, bestaan, worden, peervormige, lichamen, Dikke, mooi, erg, vraag, mag, lenen, wijde, gebloemde"
"10","9_10","voorstellen, bestaan, worden, peervormige, lichamen","pofmouwen, zomers, hele, kijkt, neer, jou, zal, beleefd, merkte, stil, geworden, kwam, geklets, word, ongemakkelijk, voel"
"11","10_11","maken, plaatselijke, architectuur, vissen, Amerika, Denk, achteraan, Kom!, soepel, kleiner","kok, plotseling, Zijn, Louis, CK, cancel-cultuur, tijdgeest, invloed, waardesysteem, naiefs, Nederlandse, Volgens, opgesloten, Help, rijp, fruit, gevoel, laagje, alsof, luchtdichte, verpakking, Dat, gewoon, slecht, communiceert, keuken, binnen, gezellig, drinken, vandaag, onderzoeksonderwerpen, werk, redding, vast, grootste, angst, armoede, terugkeer, vandaan, kom, kettingrokende, stiefvader, voortdurend, porno, keek, thuiskwam, rinkelde, sleutels, maakte, lawaai, kans, geven, snel, computer, zetten, slaapkamer, rennen, shit, hoorde, gestommel, want, onderbroek, enkels, kind, moederschap, gestort, hoeven, verwoestend, huwelijk, Verwoestend, kwijt, Gelukkig, tweede, ontmoeting, zwanger, begin, pas, beetje, oude, worden, bedoelt, boekwinkeltjes, bijzondere, uitgaven, poeziebundels, koopt, avonds, brieven, schrijft, leegstaande, panden, kunstfeestjes, organiseert, zonder, gaan, liggen, strakke, spijkerbroek, dichtritst, vergeten, vertellen, begeerd, verliefd, spannende, springerige, pornografische, heb, gevonden, moment, broek, halen, echte, neuken, Nee, jaloers, androgynie, tieners, twintigers, gekleed, onderscheid, man-vrouw, achterhaald, daarom, nieuwe, liefdes, exploreren, puur, geestelijk, vriendschappelijk, begrijpt, ingewikkeld, praat, Van, rillingen, behoefte, vrijheid, begrijp, verliefdheid, nodig, Zonder, Al, volwassen, verdiende, drie, maanden, Verenigde, Staten, eeen, huis, ontmoette, geniet, dagelijkse, rituelen, bordje, pap, ontbijt, versleten, ochtendjas, prettig, samen, willen, Japan, draag, dorp, aangekomen, zalm, Dreigend, hield, volle, boodschappentas, bezig, Instagram-post, varkens, baantje, slachthuis, zeventien, daardoor, minder, vlees, Twee, geleden, werd, vegetarier, Kwaaie, pier, echt, rem, behalve, ene, liet, komen, spijt, erna, zien, Echt, trouwens, eerder, onbegrip, tekort, waarover, kranten, wordt, geschreven, gevaarlijk, bron, v, an, rechts-extremistische, denkbeelden"
"12","11_12","",""
"13","12_13","doorstaat, donkerder, kanker, Bij, graden, lol, loog, daarna, brult, totslaafgemaakten, Omdat, meepraat, dommer, opgesloten, geleken, intelligentie, Al, eeen, huis","zwetende, bewegingloze, minuten, aftelt, witte, bruin, gekregen, inmiddels, verkeerd, interpreteren, vertelde, flauwvallen, roepen, ergens, slaaf, gemaakten, zwijgen, zwijg, erger, dociel, steen, sta, treurig, ..., schoonheidsideaal, Wees, jezelf, Streef, tienermeisje, tienerjongen, Je, stiekem, besloten, mooiste, stijlvol, noemt, gedachten, bovendien, heel, eigen, invult, vul, ruzie, theorie, verlangen, moeilijke, probeerde, leggen, Andrea, Long, Chu, ...., fictieve, figuren, ouders, waren, arm, sinds, blut, 1, donkere, appartement, zie, deel, woonkamer, bank, tv., achterhoofd, raam, ...boom, spelletje, doe, asblond, geverfd, kort, nek, lopen, tenger, figuurtje, groot, keukenschort, verschil, mooie, lelijke, onrecht, wit, lelijk, verlies, seks, alsjeblieft, Jaloezie, genieten, Komt, kapitalisme, Ons, dooft"
"14","13_14","",""
"15","14_15","","I, dont, think, believe, things, because, they, are, true, them, make, us, feel, particular, way, voed, zelfhaat, makes, Hoewel, oudere, mannelijke, lesbiennes, laatste, ineens, aantrekkelijk"
